TradingDate,QTP,DCM,DPM,ACB,VCB,BID,MBB,STB
2022-03-24,16400.0,42660.0,57999.0,21985.0,83500.0,43100.0,26707.0,33650.0
2022-03-25,16400.0,43981.0,60756.0,21851.0,82500.0,43450.0,26499.0,33650.0
2022-03-28,16200.0,45727.0,61759.0,21618.0,82400.0,41600.0,26249.0,31850.0
2022-03-29,16200.0,45114.0,61258.0,21618.0,81900.0,42400.0,26666.0,32300.0
2022-03-30,16100.0,41999.0,56996.0,21785.0,82000.0,43550.0,27207.0,32250.0
2022-03-31,16100.0,40536.0,55909.0,22085.0,82100.0,43500.0,27457.0,31700.0
2022-04-01,15900.0,41622.0,57664.0,22319.0,82800.0,44350.0,27749.0,32200.0
2022-04-04,16100.0,39545.0,53653.0,22386.0,82600.0,44250.0,27499.0,32200.0
2022-04-05,16000.0,40017.0,54489.0,22052.0,83000.0,43300.0,27207.0,31800.0
2022-04-06,16200.0,37469.0,51898.0,22186.0,84600.0,43500.0,27791.0,32350.0
2022-04-07,16300.0,38932.0,54071.0,22453.0,83000.0,43050.0,28082.0,31900.0
2022-04-08,16100.0,37516.0,53319.0,22620.0,83000.0,41900.0,27666.0,31000.0
2022-04-12,16100.0,37280.0,54489.0,22353.0,82400.0,40450.0,26874.0,30800.0
2022-04-13,16000.0,38507.0,56829.0,22486.0,82400.0,40900.0,27166.0,31350.0
2022-04-14,16200.0,41197.0,60339.0,22587.0,81000.0,40500.0,26916.0,30800.0
2022-04-15,16500.0,40347.0,59085.0,22419.0,80200.0,39300.0,26166.0,30100.0
2022-04-18,16700.0,41055.0,60171.0,21918.0,77700.0,37950.0,25249.0,29000.0
2022-04-19,16500.0,41999.0,62762.0,21150.0,77700.0,37950.0,24416.0,27500.0
2022-04-20,16300.0,39168.0,58500.0,21317.0,78400.0,37950.0,24582.0,27550.0
2022-04-21,16400.0,39073.0,59837.0,21050.0,78400.0,38500.0,24999.0,27650.0
2022-04-22,16600.0,36383.0,55659.0,21584.0,82200.0,38500.0,24999.0,28800.0
2022-04-25,16100.0,33882.0,51814.0,20381.0,81800.0,35850.0,23416.0,26800.0
2022-04-26,15600.0,35864.0,55074.0,20649.0,80500.0,36900.0,24457.0,27400.0
2022-04-27,15700.0,34637.0,53904.0,20649.0,81500.0,37200.0,24749.0,28200.0
2022-04-28,15800.0,35864.0,55491.0,20715.0,81500.0,36700.0,24541.0,27700.0
2022-04-29,15800.0,36478.0,56327.0,21851.0,80900.0,37250.0,24832.0,27700.0
2022-05-04,16000.0,33930.0,52399.0,21217.0,79900.0,37250.0,24082.0,26750.0
2022-05-05,16000.0,34449.0,52734.0,21183.0,81000.0,38200.0,24166.0,26900.0
2022-05-06,15700.0,33788.0,53235.0,20715.0,79400.0,37000.0,23332.0,25500.0
2022-05-09,14700.0,31429.0,49558.0,20448.0,77900.0,34450.0,21832.0,23750.0
2022-05-10,14400.0,29258.0,46131.0,20582.0,80000.0,35800.0,22541.0,23900.0
2022-05-11,14900.0,30579.0,47803.0,21116.0,80000.0,36100.0,22916.0,23550.0
2022-05-12,14600.0,28456.0,44460.0,19713.0,77000.0,33600.0,21374.0,21950.0
2022-05-13,14100.0,26474.0,41368.0,18377.0,73000.0,31800.0,20083.0,20450.0
2022-05-16,14400.0,24633.0,38485.0,18443.0,74200.0,32200.0,20499.0,19050.0
2022-05-17,14600.0,26332.0,41159.0,19546.0,76000.0,34450.0,21916.0,20350.0
2022-05-18,14600.0,28172.0,43791.0,19346.0,75400.0,34900.0,22207.0,21750.0
2022-05-19,14400.0,29635.0,44711.0,19112.0,76000.0,34650.0,22291.0,21750.0
2022-05-20,14500.0,30768.0,46382.0,19412.0,75300.0,34500.0,22499.0,21600.0
2022-05-23,14500.0,31429.0,45964.0,19011.0,74400.0,33350.0,21916.0,20350.0
2022-05-24,14400.0,32184.0,45964.0,19245.0,75600.0,33750.0,22374.0,21750.0
2022-05-25,14700.0,34402.0,49140.0,20047.0,77000.0,34900.0,23374.0,22750.0
2022-05-26,14700.0,33316.0,47218.0,20281.0,76700.0,35100.0,23041.0,22400.0
2022-05-27,14700.0,33316.0,47469.0,21250.0,77400.0,35300.0,23332.0,22250.0
2022-05-30,15100.0,32891.0,47218.0,21350.0,78000.0,35750.0,23416.0,22800.0
2022-05-31,15100.0,35157.0,49809.0,21083.0,78900.0,35300.0,23124.0,22350.0
2022-06-01,15000.0,36997.0,51731.0,20782.0,80500.0,35150.0,22999.0,22250.0
2022-06-02,14800.0,36619.0,51396.0,21175.0,79000.0,34700.0,22666.0,21550.0
2022-06-03,14600.0,38413.0,53402.0,21133.0,77500.0,34350.0,22832.0,21150.0
2022-06-06,14900.0,40819.0,56411.0,21133.0,79700.0,34200.0,22707.0,20500.0
2022-06-07,14800.0,40112.0,56411.0,20841.0,81000.0,33600.0,22457.0,20200.0
2022-06-08,15600.0,39876.0,55826.0,21467.0,79200.0,34300.0,23291.0,21600.0
2022-06-09,15700.0,40017.0,55909.0,21509.0,77800.0,34500.0,23166.0,22300.0
2022-06-10,15500.0,37233.0,52065.0,21050.0,77700.0,33800.0,22916.0,21900.0
2022-06-13,15100.0,34637.0,48471.0,19964.0,76400.0,31950.0,21374.0,20600.0
2022-06-14,14900.0,36619.0,50477.0,20131.0,77000.0,32300.0,21249.0,20900.0
2022-06-15,14400.0,38413.0,51396.0,19713.0,76500.0,32000.0,20749.0,20700.0
2022-06-16,14900.0,39592.0,52566.0,20131.0,79100.0,32300.0,20749.0,21000.0
2022-06-17,14500.0,40112.0,52650.0,19295.0,76100.0,31600.0,19416.0,20250.0
2022-06-20,14300.0,37327.0,49809.0,19128.0,76000.0,29500.0,18749.0,18850.0
2022-06-21,14100.0,34732.0,46382.0,19212.0,77700.0,30300.0,18708.0,19200.0
2022-06-22,13800.0,32325.0,43206.0,19838.0,76000.0,30500.0,19541.0,20500.0
2022-06-23,13800.0,33458.0,44293.0,19838.0,75900.0,31000.0,20041.0,21300.0
2022-06-24,14100.0,33977.0,44126.0,19880.0,75000.0,31200.0,19749.0,21200.0
2022-06-27,14000.0,31617.0,41075.0,20005.0,74900.0,31750.0,20083.0,21500.0
2022-06-28,14600.0,30060.0,40866.0,20465.0,76300.0,33650.0,20583.0,22550.0
2022-06-29,14300.0,30485.0,41786.0,20214.0,75500.0,34900.0,20583.0,22600.0
2022-06-30,14300.0,30909.0,42621.0,20047.0,74800.0,33500.0,20166.0,21500.0
2022-07-01,14200.0,29730.0,41326.0,20089.0,74000.0,35050.0,20166.0,22000.0
2022-07-04,14400.0,30202.0,41619.0,20256.0,74100.0,35050.0,20499.0,22350.0
2022-07-05,14300.0,28400.0,38735.0,20423.0,74000.0,36300.0,21207.0,23050.0
2022-07-06,14200.0,26450.0,36103.0,20214.0,72800.0,35600.0,20749.0,22500.0
2022-07-07,14300.0,27000.0,36771.0,20172.0,75500.0,36300.0,20916.0,22600.0
2022-07-08,14500.0,28650.0,38777.0,20047.0,74000.0,35000.0,20874.0,22500.0
2022-07-11,14400.0,27650.0,38735.0,19630.0,72000.0,34500.0,20333.0,22050.0
2022-07-12,14400.0,28500.0,39696.0,20047.0,71900.0,36400.0,20874.0,22600.0
2022-07-13,14500.0,28100.0,39655.0,20047.0,71800.0,36050.0,21082.0,23050.0
2022-07-14,15000.0,30050.0,42204.0,20089.0,72400.0,36150.0,21249.0,23300.0
2022-07-15,15000.0,29800.0,42120.0,20047.0,72300.0,35800.0,21207.0,23000.0
